,2012,2013,2014,2015,2016,Phrase
hosting concepts,,1.0,1.0,1.0,1,hosting concepts
hosting ireland,,,,,1,hosting ireland
hosting kr,1.0,1.0,1.0,1.0,1,hosting kr
hosting limited,,,1.0,1.0,1,hosting limited
hosting llc,,1.0,1.0,1.0,1,hosting llc
hosting pvt,2.0,2.0,2.0,2.0,1,hosting pvt
hosting pvt ltd,2.0,2.0,2.0,2.0,1,hosting pvt ltd
hosting ukraine,,,,1.0,1,hosting ukraine
hosting ukraine llc,,,,1.0,1,hosting ukraine llc
hostinger,1.0,1.0,1.0,1.0,1,hostinger
hostinger uab,1.0,1.0,1.0,1.0,1,hostinger uab
hostlane,1.0,1.0,1.0,1.0,1,hostlane
hostlane inc,1.0,1.0,1.0,1.0,1,hostlane inc
hostmaster,1.0,1.0,,1.0,1,hostmaster
hostmaster ltd,,,,1.0,1,hostmaster ltd
hostnet,,,1.0,1.0,1,hostnet
hostnet bv,,,1.0,1.0,1,hostnet bv
inc dba resellserv,1.0,1.0,1.0,1.0,1,inc dba resellserv
inc denmark,1.0,1.0,1.0,1.0,1,inc denmark
inc domainca,1.0,1.0,1.0,1.0,1,inc domainca
inc domainca com,1.0,1.0,1.0,1.0,1,inc domainca com
instra corporation,1.0,1.0,1.0,1.0,1,instra corporation
instra corporation pty,1.0,1.0,1.0,1.0,1,instra corporation pty
insurers,,,,,1,insurers
int,1.0,1.0,1.0,1.0,1,int
int de,1.0,1.0,1.0,1.0,1,int de
int de telecommunications,1.0,1.0,1.0,1.0,1,int de telecommunications
intellectual,1.0,1.0,1.0,1.0,1,intellectual
intellectual property,1.0,1.0,1.0,1.0,1,intellectual property
intellectual property dba,1.0,1.0,1.0,1.0,1,intellectual property dba
instra,1.0,1.0,1.0,1.0,1,instra
interconnect,,,,2.0,1,interconnect
interconnect beijing technology,,,,1.0,1,interconnect beijing technology
intercontinentalexchange,,,,,1,intercontinentalexchange
intercontinentalexchange inc,,,,,1,intercontinentalexchange inc
interdominios,1.0,1.0,1.0,1.0,1,interdominios
interdominios inc,1.0,1.0,1.0,1.0,1,interdominios inc
interdotcom,1.0,1.0,1.0,1.0,1,interdotcom
interdotcom corp,1.0,1.0,1.0,1.0,1,interdotcom corp
interlakenames,1.0,1.0,1.0,1.0,1,interlakenames
interlakenames com,1.0,1.0,1.0,1.0,1,interlakenames com
interconnect beijing,,,,1.0,1,interconnect beijing
interlakenames com llc,1.0,1.0,1.0,1.0,1,interlakenames com llc
institution kyoto jyoho,,,,1.0,1,institution kyoto jyoho
institution,,,,1.0,1,institution
initiatives,,,1.0,1.0,1,initiatives
initiatives the,,,,1.0,1,initiatives the
initiatives the smart,,,,1.0,1,initiatives the smart
inlanddomains,,1.0,2.0,1.0,1,inlanddomains
inlanddomains llc,,,1.0,1.0,1,inlanddomains llc
innovative,2.0,1.0,1.0,1.0,1,innovative
innovative linkage,2.0,1.0,1.0,1.0,1,innovative linkage
innovative linkage technology,2.0,1.0,1.0,1.0,1,innovative linkage technology
insanenames,,1.0,1.0,1.0,1,insanenames
institution kyoto,,,,1.0,1,institution kyoto
insanenames llc,,1.0,1.0,1.0,1,insanenames llc
instantnames llc,1.0,1.0,1.0,1.0,1,instantnames llc
instinct,1.0,1.0,1.0,1.0,1,instinct
instinct solutions,1.0,1.0,1.0,1.0,1,instinct solutions
instinct solutions inc,1.0,1.0,1.0,1.0,1,instinct solutions inc
institute for,1.0,,1.0,,1,institute for
institute for in,1.0,,1.0,,1,institute for in
instituteur,,,,1.0,1,instituteur
instituteur france,,,,1.0,1,instituteur france
instituteur france maif,,,,1.0,1,instituteur france maif
instantnames,1.0,1.0,1.0,1.0,1,instantnames
internal,1.0,1.0,1.0,1.0,1,internal
internal affairs,1.0,1.0,1.0,1.0,1,internal affairs
internal affairs corporation,1.0,1.0,1.0,1.0,1,internal affairs corporation
internet dba,2.0,2.0,2.0,2.0,1,internet dba
internet dba nicline,1.0,1.0,1.0,1.0,1,internet dba nicline
internet de,1.0,1.0,1.0,1.0,1,internet de
internet development,1.0,1.0,1.0,1.0,1,internet development
internet development inc,1.0,1.0,1.0,1.0,1,internet development inc
internet domain name,,,1.0,1.0,1,internet domain name
internet domain service,,,,1.0,1,internet domain service
internet gmbh,2.0,1.0,1.0,1.0,1,internet gmbh
internet group,1.0,1.0,2.0,1.0,1,internet group
internet corp,,,,1.0,1,internet corp
internet group ltd,,,1.0,1.0,1,internet group ltd
internet identity,1.0,1.0,1.0,1.0,1,internet identity
internet identity provider,1.0,1.0,1.0,1.0,1,internet identity provider
internet indonesia,,,,,1,internet indonesia
internet internal,1.0,1.0,1.0,1.0,1,internet internal
internet internal affairs,1.0,1.0,1.0,1.0,1,internet internal affairs
internet invest,1.0,1.0,1.0,1.0,1,internet invest
internet invest ltd,1.0,1.0,1.0,1.0,1,internet invest ltd
internet ip,,,,1.0,1,internet ip
internet ip services,,,,1.0,1,internet ip services
internet iceland,1.0,,1.0,,1,internet iceland
internet bs corp,1.0,1.0,1.0,1.0,1,internet bs corp
internet bs,1.0,1.0,1.0,1.0,1,internet bs
internet and software,1.0,1.0,1.0,1.0,1,internet and software
international ag,,,,,1,international ag
international business,,,,1.0,1,international business
international business machines,,,,1.0,1,international business machines
international co limited,,,,,1,international co limited
international co ltd,,,1.0,1.0,1,international co ltd
international domain,,,2.0,1.0,1,international domain
international domain registry,,,2.0,1.0,1,international domain registry
international gmbh,,,,,1,international gmbh
international group,,,,1.0,1,international group
international group inc,,,,1.0,1,international group inc
international hk,,,,,1,international hk
international hk co,,,,,1,international hk co
international inc dba,1.0,1.0,1.0,1.0,1,international inc dba
international llp,1.0,1.0,1.0,1.0,1,international llp
international ltd company,,,,1.0,1,international ltd company
international networking,,,,,1,international networking
international networking technology,,,,,1,international networking technology
international sa,,,,,1,international sa
internet administration,1.0,,,,1,internet administration
internet administration limited,1.0,,,,1,internet administration limited
internet and,1.0,1.0,1.0,1.0,1,internet and
inic gmbh,,,1.0,1.0,1,inic gmbh
internet ltd,1.0,2.0,1.0,1.0,1,internet ltd
inic,,,1.0,1.0,1,inic
ingenit gmbh,,1.0,1.0,1.0,1,ingenit gmbh
industrial and commercial,,,,1.0,1,industrial and commercial
industries inc,,,,1.0,1,industries inc
industries ltd,,,,1.0,1,industries ltd
inet,,,,,1,inet
inet corporation,,,,,1,inet corporation
inf,,,,,1,inf
infibeam,,,,1.0,1,infibeam
infibeam incorporation,,,,1.0,1,infibeam incorporation
infibeam incorporation limited,,,,1.0,1,infibeam incorporation limited
industrial and,,,,1.0,1,industrial and
infinitum,2.0,1.0,1.0,1.0,1,infinitum
info avenue,1.0,1.0,1.0,1.0,1,info avenue
info avenue llc,1.0,1.0,1.0,1.0,1,info avenue llc
info network,,,,1.0,1,info network
info network technology,,,,1.0,1,info network technology
infocom,1.0,1.0,1.0,1.0,1,infocom
infocom network,1.0,1.0,1.0,1.0,1,infocom network
infocom network ltd,1.0,1.0,1.0,1.0,1,infocom network ltd
infomaniak,,,,,1,infomaniak
infomaniak network,,,,,1,infomaniak network
infinitum incorporated,2.0,1.0,1.0,1.0,1,infinitum incorporated
infomaniak network sa,,,,,1,infomaniak network sa
industrial,,,,1.0,1,industrial
industria de,,,,,1,industria de
inc domaindiscover,1.0,1.0,1.0,1.0,1,inc domaindiscover
inc groundregistry,1.0,1.0,1.0,1.0,1,inc groundregistry
inc groundregistry com,1.0,1.0,1.0,1.0,1,inc groundregistry com
inc netearth,1.0,1.0,1.0,1.0,1,inc netearth
inc pairnic,1.0,1.0,1.0,1.0,1,inc pairnic
inc pte,,,,,1,inc pte
inc pte ltd,,,,,1,inc pte ltd
incorporated in,,,,1.0,1,incorporated in
incorporated in england,,,,1.0,1,incorporated in england
industria de dise,,,,,1,industria de dise
incorporation,,,,1.0,1,incorporation
india private,,,,,1,india private
india private limited,,,,,1,india private limited
india pvt,1.0,1.0,1.0,1.0,1,india pvt
india pvt ltd,1.0,1.0,1.0,1.0,1,india pvt ltd
indirection,,1.0,1.0,1.0,1,indirection
indirection identity,,1.0,1.0,1.0,1,indirection identity
indirection identity corporation,,1.0,1.0,1.0,1,indirection identity corporation
inditex,,,,,1,inditex
industria,,,,,1,industria
incorporation limited,,,,1.0,1,incorporation limited
informacao,1.0,,1.0,,1,informacao
informacao coordenacao,1.0,,1.0,,1,informacao coordenacao
informacao coordenacao do,1.0,,1.0,,1,informacao coordenacao do
information systems,,,,1.0,1,information systems
information technical,1.0,,,1.0,1,information technical
information technical center,1.0,,,1.0,1,information technical center
information technology corporation,1.0,1.0,1.0,1.0,1,information technology corporation
information technology international,,,,,1,information technology international
informaτπo,,,,,1,informaτπo
informaτπo coordenaτπo,,,,,1,informaτπo coordenaτπo
informaτπo coordenaτπo do,,,,,1,informaτπo coordenaτπo do
informßtica,,,1.0,1.0,1,informßtica
information resources holding,3.0,2.0,4.0,2.0,1,information resources holding
informßtica sa,,,1.0,1.0,1,informßtica sa
infotecnics,1.0,1.0,1.0,1.0,1,infotecnics
infotecnics limited,,,,1.0,1,infotecnics limited
infrastr,1.0,,1.0,1.0,1,infrastr
ingelheim,,,,,1,ingelheim
ingelheim international,,,,,1,ingelheim international
ingelheim international gmbh,,,,,1,ingelheim international gmbh
ingenierφa,,,,1.0,1,ingenierφa
ingenierφa sistemas,,,,1.0,1,ingenierφa sistemas
ingenit,,1.0,1.0,1.0,1,ingenit
informßtica sa iplanrio,,,1.0,1.0,1,informßtica sa iplanrio
information resources,3.0,2.0,4.0,2.0,1,information resources
information management co,,,,1.0,1,information management co
information management,,,,1.0,1,information management
informacion,1.0,,,,1,informacion
informatica,3.0,2.0,2.0,1.0,1,informatica
informatica servicos,3.0,2.0,2.0,1.0,1,informatica servicos
informatica servicos telecomunicacoes,3.0,2.0,2.0,1.0,1,informatica servicos telecomunicacoes
informatics,1.0,,1.0,,1,informatics
information and communications,1.0,,2.0,1.0,1,information and communications
information and technology,,,,,1,information and technology
information center foundation,1.0,,1.0,,1,information center foundation
information center jsc,1.0,1.0,1.0,1.0,1,information center jsc
information center mexico,,1.0,1.0,1.0,1,information center mexico
information center monic,,,,1.0,1,information center monic
information center of,,,1.0,1.0,1,information center of
information centre,,,,2.0,1,information centre
information centre tznic,,,,1.0,1,information centre tznic
information certificate,1.0,1.0,1.0,1.0,1,information certificate
information certificate authority,1.0,1.0,1.0,1.0,1,information certificate authority
information development,,,1.0,1.0,1,information development
information development co,,,1.0,1.0,1,information development co
information hong,,,1.0,2.0,1,information hong
information hong kong,,,1.0,2.0,1,information hong kong
information limited,,,1.0,1.0,1,information limited
ingenit gmbh co,,1.0,1.0,1.0,1,ingenit gmbh co
lang lasalle incorporated,,,,1.0,1,lang lasalle incorporated
langenbach,1.0,1.0,1.0,1.0,1,langenbach
langenbach gmbh,1.0,1.0,1.0,1.0,1,langenbach gmbh
mvpdomainnames,1.0,1.0,1.0,1.0,1,mvpdomainnames
mvpdomainnames com,1.0,1.0,1.0,1.0,1,mvpdomainnames com
mvpdomainnames com llc,1.0,1.0,1.0,1.0,1,mvpdomainnames com llc
myers,,,,,1,myers
myers squibb,,,,,1,myers squibb
myers squibb company,,,,,1,myers squibb company
mymanager,,,1.0,1.0,1,mymanager
mymanager inc,,,1.0,1.0,1,mymanager inc
mypreciousdomain,1.0,1.0,1.0,1.0,1,mypreciousdomain
mutuelle assurance instituteur,,,,1.0,1,mutuelle assurance instituteur
mypreciousdomain com,1.0,1.0,1.0,1.0,1,mypreciousdomain com
mysrl,,,,,1,mysrl
mysrl gmbh,,,,,1,mysrl gmbh
mθditerranθe,,,,,1,mθditerranθe
na,,,,1.0,1,na
na internet,,,,1.0,1,na internet
na internet ltda,,,,1.0,1,na internet ltda
nacional,4.0,,2.0,,1,nacional
nacional das,1.0,,1.0,,1,nacional das
nacional das comunicacoes,1.0,,1.0,,1,nacional das comunicacoes
mypreciousdomain com llc,1.0,1.0,1.0,1.0,1,mypreciousdomain com llc
naisinike,1.0,1.0,2.0,1.0,1,naisinike
mutuelle assurance,,,,1.0,1,mutuelle assurance
mutualitθ franτaise,,,,,1,mutualitθ franτaise
msc sdn,,,1.0,1.0,1,msc sdn
msc sdn bhd,,,1.0,1.0,1,msc sdn bhd
mtn,,,,1.0,1,mtn
mtn dubai,,,,1.0,1,mtn dubai
mtn dubai limited,,,,1.0,1,mtn dubai limited
mtr,,,,,1,mtr
mtr corporation,,,,,1,mtr corporation
mtr corporation limited,,,,,1,mtr corporation limited
municipal,,,1.0,1.0,1,municipal
mutuelle,,,,1.0,1,mutuelle
municipal de,,,1.0,1.0,1,municipal de
municipality,,,,,1,municipality
municipi,,,,,1,municipi
municipi de,,,,,1,municipi de
municipi de barcelona,,,,,1,municipi de barcelona
mutual automobile,,,,,1,mutual automobile
mutual automobile insurance,,,,,1,mutual automobile insurance
mutual insurance,,,,,1,mutual insurance
mutual insurance company,,,,,1,mutual insurance company
mutualitθ,,,,,1,mutualitθ
municipal de informßtica,,,1.0,1.0,1,municipal de informßtica
msc,,,2.0,1.0,1,msc
naisinike information,1.0,1.0,2.0,1.0,1,naisinike information
nakazawa,,,,,1,nakazawa
name inc,2.0,2.0,1.0,1.0,1,name inc
name information,,,,1.0,1,name information
name information management,,,,1.0,1,name information management
name llc,1.0,1.0,1.0,,1,name llc
name nelly,1.0,1.0,1.0,1.0,1,name nelly
name nelly corporation,1.0,1.0,1.0,1.0,1,name nelly corporation
name net,1.0,1.0,2.0,1.0,1,name net
name net inc,,,1.0,1.0,1,name net inc
name network,,,,1.0,1,name network
name icon llc,,,,,1,name icon llc
name network pty,,,,1.0,1,name network pty
name origin llc,,,,1.0,1,name origin llc
name perfections,1.0,1.0,1.0,1.0,1,name perfections
name perfections inc,1.0,1.0,1.0,1.0,1,name perfections inc
name root,,,,1.0,1,name root
name root llc,,,,1.0,1,name root llc
name sarl,1.0,1.0,1.0,1.0,1,name sarl
name services inc,3.0,3.0,3.0,1.0,1,name services inc
name services pty,1.0,,1.0,1.0,1,name services pty
name share,1.0,1.0,1.0,1.0,1,name share
name origin,,,,1.0,1,name origin
naisinike information technology,1.0,1.0,2.0,1.0,1,naisinike information technology
name icon,,,,,1,name icon
name host,1.0,1.0,1.0,1.0,1,name host
nakazawa trading,,,,,1,nakazawa trading
nakazawa trading co,,,,,1,nakazawa trading co
nam,,1.0,1.0,1.0,1,nam
nam company,,1.0,1.0,1.0,1,nam company
nam company limited,,1.0,1.0,1.0,1,nam company limited
nama,,,,,1,nama
nama domain,,,,,1,nama domain
nama domain internet,,,,,1,nama domain internet
name administration,,1.0,2.0,1.0,1,name administration
name host inc,1.0,1.0,1.0,1.0,1,name host inc
name administration center,,1.0,2.0,1.0,1,name administration center
name cc inc,,,,1.0,1,name cc inc
name com,1.0,1.0,1.0,1.0,1,name com
name com inc,,,,1.0,1,name com inc
name connection area,,,,,1,name connection area
name connection spot,,,,,1,name connection spot
name dispute,,,,,1,name dispute
name dispute centre,,,,,1,name dispute centre
name find,,,,,1,name find
name find source,,,,,1,name find source
name cc,,,,1.0,1,name cc
mps infotecnics limited,,,,1.0,1,mps infotecnics limited
mps infotecnics,,,,1.0,1,mps infotecnics
mps,,,,1.0,1,mps
mimei technology co,,,,,1,mimei technology co
minds and,,1.0,2.0,1.0,1,minds and
minds and machines,,1.0,2.0,1.0,1,minds and machines
minds machines gmbh,,,,1.0,1,minds machines gmbh
minds machines group,,,,,1,minds machines group
minds machines registrar,,,1.0,1.0,1,minds machines registrar
ming lian,4.0,2.0,2.0,1.0,1,ming lian
ming lian beijing,4.0,2.0,2.0,1.0,1,ming lian beijing
ming yang,1.0,1.0,1.0,1.0,1,ming yang
mimei technology,,,,,1,mimei technology
ming yang information,1.0,1.0,1.0,1.0,1,ming yang information
mining llc,,,,,1,mining llc
ministry,,,,1.0,1,ministry
ministry of,,,,1.0,1,ministry of
ministry of transport,,,,,1,ministry of transport
mirror pte,1.0,1.0,1.0,1.0,1,mirror pte
mirror pte ltd,1.0,1.0,1.0,1.0,1,mirror pte ltd
misk,1.0,1.0,1.0,1.0,1,misk
misk com,1.0,1.0,1.0,1.0,1,misk com
misk com inc,1.0,1.0,1.0,1.0,1,misk com inc
mining,,,,,1,mining
mister,2.0,1.0,1.0,1.0,1,mister
mimei,,,,,1,mimei
millennial names,,,,,1,millennial names
microbreweddomains com llc,1.0,1.0,1.0,1.0,1,microbreweddomains com llc
midaizi,,,,,1,midaizi
midaizi network,,,,,1,midaizi network
midaizi network co,,,,,1,midaizi network co
middle east fze,,,1.0,1.0,1,middle east fze
middle east technical,,1.0,,,1,middle east technical
midwest,1.0,,1.0,1.0,1,midwest
midwest taian,1.0,,1.0,1.0,1,midwest taian
midwest taian technology,1.0,,1.0,1.0,1,midwest taian technology
millennial names llc,,,,,1,millennial names llc
midwestdomains,,1.0,2.0,1.0,1,midwestdomains
mighty,1.0,1.0,1.0,1.0,1,mighty
mighty bay,1.0,1.0,1.0,1.0,1,mighty bay
mighty bay inc,1.0,1.0,1.0,1.0,1,mighty bay inc
mijn,1.0,1.0,1.0,1.0,1,mijn
mijn internetoplossing,1.0,1.0,1.0,1.0,1,mijn internetoplossing
mijndomein,1.0,1.0,1.0,1.0,1,mijndomein
mijndomein nl,1.0,1.0,1.0,1.0,1,mijndomein nl
mijndomein nl bv,1.0,1.0,1.0,1.0,1,mijndomein nl bv
millennial,,,,,1,millennial
midwestdomains llc,,,1.0,1.0,1,midwestdomains llc
mister name,2.0,1.0,1.0,1.0,1,mister name
mister name sarl,1.0,1.0,1.0,1.0,1,mister name sarl
misternic,1.0,1.0,1.0,1.0,1,misternic
monster inc,1.0,1.0,1.0,1.0,1,monster inc
montenegro,2.0,2.0,2.0,1.0,1,montenegro
montenegro domains,2.0,2.0,2.0,1.0,1,montenegro domains
montenegro domains llc,1.0,1.0,1.0,1.0,1,montenegro domains llc
moon shot,,,,1.0,1,moon shot
moon shot domains,,,,1.0,1,moon shot domains
morris,,,,1.0,1,morris
morris endeavor,,,,1.0,1,morris endeavor
morris endeavor entertainment,,,,1.0,1,morris endeavor entertainment
monster,1.0,1.0,1.0,1.0,1,monster
motion domains,,,,,1,motion domains
motion inc,1.0,1.0,1.0,1.0,1,motion inc
motion picture,,,,1.0,1,motion picture
motion picture domain,,,,1.0,1,motion picture domain
motoren,,,1.0,1.0,1,motoren
motoren werke,,,1.0,1.0,1,motoren werke
motoren werke aktiengesellschaft,,,1.0,1.0,1,motoren werke aktiengesellschaft
motors corporation,,,,,1,motors corporation
motors limited,,,,,1,motors limited
motors ltd,,,,,1,motors ltd
motion domains llc,,,,,1,motion domains llc
monolith registry llc,,,1.0,1.0,1,monolith registry llc
monolith registry,,,1.0,1.0,1,monolith registry
monolith,,,1.0,1.0,1,monolith
misternic llc,1.0,1.0,1.0,1.0,1,misternic llc
mitsubishi,,,,1.0,1,mitsubishi
mitsubishi tanabe,,,,1.0,1,mitsubishi tanabe
mitsubishi tanabe pharma,,,,1.0,1,mitsubishi tanabe pharma
mma,,,,1.0,1,mma
mma iard,,,,1.0,1,mma iard
mobile co,,,,1.0,1,mobile co
mobile co domains,,,,1.0,1,mobile co domains
mobile communications,,,,,1,mobile communications
mobile communications ab,,,,,1,mobile communications ab
mobile name,1.0,1.0,1.0,1.0,1,mobile name
mobile name services,1.0,1.0,1.0,1.0,1,mobile name services
molddata,1.0,,1.0,,1,molddata
monash,,,1.0,1.0,1,monash
monash university,,,1.0,1.0,1,monash university
monic,,,,2.0,1,monic
moniker,1.0,1.0,1.0,1.0,1,moniker
moniker online,1.0,1.0,1.0,1.0,1,moniker online
moniker online services,1.0,1.0,1.0,1.0,1,moniker online services
monkeys,1.0,1.0,1.0,1.0,1,monkeys
monkeys llc,1.0,1.0,1.0,1.0,1,monkeys llc
name share inc,1.0,1.0,1.0,1.0,1,name share inc
name system,,,1.0,1.0,1,name system
name system beijing,,,1.0,1.0,1,name system beijing
name thread,1.0,1.0,1.0,1.0,1,name thread
names stop here,,,,,1,names stop here
names ukrnames,1.0,1.0,1.0,1.0,1,names ukrnames
namesalacarte,1.0,1.0,1.0,1.0,1,namesalacarte
namesalacarte com,1.0,1.0,1.0,1.0,1,namesalacarte com
namesalacarte com llc,1.0,1.0,1.0,1.0,1,namesalacarte com llc
namesaplenty,,,,,1,namesaplenty
namesaplenty llc,,,,,1,namesaplenty llc
namesay,1.0,1.0,1.0,1.0,1,namesay
namesay llc,1.0,1.0,1.0,1.0,1,namesay llc
names stop,,,,,1,names stop
namescout,1.0,1.0,1.0,1.0,1,namescout
namesector,1.0,1.0,1.0,1.0,1,namesector
namesector llc,1.0,1.0,1.0,1.0,1,namesector llc
namesecure,1.0,1.0,1.0,1.0,1,namesecure
nameselite,,,,1.0,1,nameselite
nameselite llc,,,,1.0,1,nameselite llc
nameshere,2.0,1.0,1.0,1.0,1,nameshere
nameshere llc,1.0,1.0,1.0,1.0,1,nameshere llc
nameshield,1.0,3.0,1.0,1.0,1,nameshield
namesilo,1.0,1.0,1.0,1.0,1,namesilo
namescout corp,1.0,1.0,1.0,1.0,1,namescout corp
namesilo llc,1.0,1.0,1.0,1.0,1,namesilo llc
names reg ru,1.0,1.0,2.0,1.0,1,names reg ru
names on the,,,,,1,names on the
namemaster rc,,,1.0,1.0,1,namemaster rc
namemaster rc gmbh,,,1.0,1.0,1,namemaster rc gmbh
namepal,,,,1.0,1,namepal
namepal com,,,,1.0,1,namepal com
namepal com llc,,,,1.0,1,namepal com llc
namepanther,1.0,1.0,1.0,1.0,1,namepanther
namepanther com,1.0,1.0,1.0,1.0,1,namepanther com
namepanther com llc,1.0,1.0,1.0,1.0,1,namepanther com llc
namers,1.0,1.0,1.0,1.0,1,namers
names reg,1.0,1.0,2.0,1.0,1,names reg
namers inc,1.0,1.0,1.0,1.0,1,namers inc
names and certs,1.0,1.0,1.0,1.0,1,names and certs
names com,,1.0,1.0,1.0,1,names com
names com inc,,1.0,1.0,1.0,1,names com inc
names corporation,1.0,1.0,1.0,1.0,1,names corporation
names express,,,,,1,names express
names express llc,,,,,1,names express llc
names in,1.0,1.0,1.0,1.0,1,names in
names in motion,1.0,1.0,1.0,1.0,1,names in motion
names on,,,,,1,names on
names and,1.0,1.0,1.0,1.0,1,names and
namesnap,,,,,1,namesnap
namesnap llc,,,,,1,namesnap llc
namesnapper,,,,,1,namesnapper
namevolcano,1.0,1.0,1.0,1.0,1,namevolcano
namevolcano com,1.0,1.0,1.0,1.0,1,namevolcano com
namevolcano com llc,1.0,1.0,1.0,1.0,1,namevolcano com llc
nameweb,1.0,1.0,1.0,1.0,1,nameweb
nameweb bvba,1.0,1.0,1.0,1.0,1,nameweb bvba
namewhite,1.0,1.0,1.0,1.0,1,namewhite
namewhite com,1.0,1.0,1.0,1.0,1,namewhite com
namewhite com inc,1.0,1.0,1.0,1.0,1,namewhite com inc
namewinner,,,,,1,namewinner
namevault com,1.0,1.0,1.0,1.0,1,namevault com
namewinner llc,,,,,1,namewinner llc
namezero com,1.0,1.0,1.0,1.0,1,namezero com
naming,,,1.0,1.0,1,naming
naming services,,,1.0,1.0,1,naming services
naming services ltd,,,1.0,1.0,1,naming services ltd
namware,,,1.0,1.0,1,namware
namware com,,,1.0,1.0,1,namware com
namware com inc,,,1.0,1.0,1,namware com inc
nanjing,1.0,1.0,1.0,1.0,1,nanjing
nanjing imperiosus,1.0,1.0,1.0,1.0,1,nanjing imperiosus
namezero,1.0,1.0,1.0,1.0,1,namezero
namevault,1.0,1.0,1.0,1.0,1,namevault
nameturn llc,,,,1.0,1,nameturn llc
nameturn,,,,1.0,1,nameturn
namesnapper llc,,,,,1,namesnapper llc
namesource,,,,,1,namesource
namesource llc,,,,,1,namesource llc
namesourcedomains,,,,1.0,1,namesourcedomains
namesourcedomains llc,,,,1.0,1,namesourcedomains llc
namespro,,,1.0,1.0,1,namespro
namespro solutions,,,1.0,1.0,1,namespro solutions
namespro solutions inc,,,1.0,1.0,1,namespro solutions inc
namestop,,,,,1,namestop
namestop llc,,,,,1,namestop llc
namestrategies,1.0,1.0,1.0,1.0,1,namestrategies
namestrategies llc,1.0,1.0,1.0,1.0,1,namestrategies llc
namestream,1.0,1.0,1.0,1.0,1,namestream
namestream com,1.0,1.0,1.0,1.0,1,namestream com
namestream com inc,1.0,1.0,1.0,1.0,1,namestream com inc
nametell,1.0,1.0,1.0,1.0,1,nametell
nametell com,1.0,1.0,1.0,1.0,1,nametell com
nametell com llc,1.0,1.0,1.0,1.0,1,nametell com llc
